"id","ma","ten","ma_cha","last_update","trang_thai"
430,TWB,Chi nhánh TCTHKVN - CTCP tại Đài Loan,TM,"2026-06-05 02:26:01.118967",
491,ASOC-BGĐ,Ban Giám đốc,ASO,"2026-06-05 02:26:01.118967",
447,VAS-KT,Phòng Kỹ thuật,VAS,"2026-06-05 02:26:01.118967",
500,FCD-LĐ,Lãnh đạo Đoàn,FCD,"2026-06-05 02:26:01.118967",
276,FAD-TC,Phòng Tài chính,FAD,"2026-06-05 02:26:01.118967",
154,HRD-ĐT,Phòng Đào tạo,HRD,"2026-06-05 02:26:01.118967",
508,CBD-LĐ,Lãnh đạo Ban,CBD,"2026-06-05 02:26:01.118967",
565,TEST_PS2,Phòng số 2 (TEST),Others,"2026-06-05 02:26:01.118967",
568,IND-BLR,Sân bay Bengaluru (BLR),INB,"2026-06-05 02:26:01.118967",
539,ASD-LĐB,Lãnh đạo Ban,ASD,"2026-06-05 02:26:01.118967",
363,IDB,Chi nhánh TCTHKVN - CTCP tại Indonesia,TM,"2026-06-05 02:26:01.118967",
392,NCS,Công Ty Cổ Phần Suất Ăn Hàng Không Nội Bài,CTC,"2026-06-05 02:26:01.118967",
347,FTC-HLKTB,Khoa Huấn luyện Khai thác Bay,FTC,"2026-06-05 02:26:01.118967",
285,ASO-DVKTĐN,Phòng Dịch vụ và Khai thác Đà Nẵng,ASO,"2026-06-05 02:26:01.118967",
586,HRT - LĐ,Lãnh đạo Trung tâm,HRT,"2026-06-05 02:26:01.118967",
587,HRT-SXND,Phòng Sản xuất nội dung,HRT,"2026-06-05 02:26:01.118967",
532,VAS-KTB,Phòng Khai thác bay,VAS,"2026-06-05 02:26:01.118967",
463,VNB-CNPQ,Chi nhánh TCTHKVN - CTCP tại Phú Quốc,VNB,"2026-06-05 02:26:01.118967",
374,K6A,Cambodia Angkor Air,CTC,"2026-06-05 02:26:01.118967",
325,DEB,Chi nhánh TCTHKVN - CTCP tại Đức,TM,"2026-06-05 02:26:01.118967",
557,DEB-FRA,Trụ sở chính - FrankFurt (FRA),DEB,"2026-06-05 02:26:01.118967",
280,APL,Công Ty Cổ Phần Nhựa cao cấp hàng không,CTC,"2026-06-05 02:26:01.118967",
423,TCS,Công Ty Cổ Phần Dịch Vụ Hàng Hóa Tân Sơn Nhất,CTC,"2026-06-05 02:26:01.118967",
361,IAD-KTHĐTCĐT,"Phòng Kiểm toán hoạt động tài chính, đầu tư",IAD,"2026-06-05 02:26:01.118967",
533,VAS-ANHK,Đội An ninh hàng không,VAS,"2026-06-05 02:26:01.118967",
519,BKT,Cơ quan Ủy ban Kiểm tra Đảng ủy Tổng công ty Hàng không Việt Nam,TMĐU,"2026-06-05 02:26:01.118967",
581,UNI-CTCĐ,Ban Công tác Công đoàn,UNI,"2026-06-05 02:26:01.118967",
460,VNB-CNĐL,Chi nhánh TCTHKVN - CTCP tại Đà Lạt,VNB,"2026-06-05 02:26:01.118967",
468,VNB-CNHUE,Chi nhánh TCTHKVN - CTCP tại Huế,VNB,"2026-06-05 02:26:01.118967",
456,VNB-CNBMT,Chi nhánh TCTHKVN - CTCP tại Buôn Ma Thuột,VNB,"2026-06-05 02:26:01.118967",
298,CAD-KT,Phòng Kế toán,CAD,"2026-06-05 02:26:01.118967",
558,IDB-CGK,Trụ sở chính - Jakarta (CGK),IDB,"2026-06-05 02:26:01.118967",
449,VAS-TCHC,Phòng Tổ chức - Hành chính,VAS,"2026-06-05 02:26:01.118967",
569,IND-HYD,Sân bay Hyderabad (HYD),INB,"2026-06-05 02:26:01.118967",
563,TWB - TPE,Trụ sở chính - Taipei (TPE),TWB,"2026-06-05 02:26:01.118967",
471,VNB-TMHH,Phòng Thương mại hàng hóa,VNB,"2026-06-05 02:26:01.118967",
341,FCD-KT,Phòng Kế toán,FCD,"2026-06-05 02:26:01.118967",
427,TEC-KTMB,Phòng Kỹ thuật máy bay,TEC,"2026-06-05 02:26:01.118967",
521,BTG,Ban Tuyên giáo Đảng ủy Tổng công ty Hàng không Việt Nam,TMĐU,"2026-06-05 02:26:01.118967",
546,DTT-DTG,Phòng Đổi mới sáng tạo,DTT,"2026-06-05 02:26:01.118967",
383,LED-PC,Phòng Pháp chế,LED,"2026-06-05 02:26:01.118967",
376,KRB-PUS,Chi nhánh TCTHKVN - CTCP tại Busan (PUS),KRB,"2026-06-05 02:26:01.118967",
290,ASO-TCHC,Phòng Tổ chức - Hành chính,ASO,"2026-06-05 02:26:01.118967",
293,AUB,Chi nhánh TCTHKVN - CTCP tại Úc,TM,"2026-06-05 02:26:01.118967",
294,GLC,Chi nhánh TCTHKVN - CTCP - Trung tâm Bông Sen Vàng,TM,"2026-06-05 02:26:01.118967",
404,CPD-KHĐB,Phòng Kế hoạch đường bay,CPD,"2026-06-05 02:26:01.118967",
437,VAG,Công Ty TNHH MTV Dịch Vụ Mặt Đất Sân Bay Việt Nam,CTC,"2026-06-05 02:26:01.118967",
